ticker,review_bucket,review_rationale,active_governed_membership_count,governed_membership_count,themes,categories,current_ranking_eligibility_reason,primary_ineligibility_bucket,coverage_status,symbol_status,manual_suppressed,manual_suppression_reason,snapshot_present,has_current_usable_snapshot,snapshot_time,snapshot_source,price,avg_volume,dollar_volume,price_valid,avg_volume_valid,dollar_volume_valid,perf_1d,perf_1w,perf_1m,perf_3m,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,special_format_ticker,governance_cleanup_flag,near_price_threshold_flag,borderline_dollar_volume_flag,threshold_review_flag
FATE,clearly illiquid,"materially below current liquidity floor; dollar volume 1,797,677; price 1.35",1,1,Biotech - Cell Therapy,Healthcare - Biotech,"dollar volume invalid: 1,797,677 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,1.35,1331612.504061381,1797676.8804828646,True,True,False,-2.88,0.75,22.73,22.73,,0,1,2026-04-15 17:15:52.740406,2026-04-21 14:24:21.913299,False,False,False,False,False
FFIC,clearly illiquid,"materially below current liquidity floor; dollar volume 3,442,357; price 15.93",1,1,Banks - Community,Financials - Banks,"dollar volume invalid: 3,442,357 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,15.93,216092.739005,3442357.33234965,True,True,False,-2.33,-0.19,7.64,5.57,,0,1,2026-04-15 17:15:52.807876,2026-04-21 14:24:23.377905,False,False,False,False,False
FINV,clearly illiquid,"materially below current liquidity floor; dollar volume 5,522,927; price 4.69",1,1,China Finance,International,"dollar volume invalid: 5,522,927 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.69,1177596.4053424762,5522927.1410562135,True,True,False,-0.21,-8.22,-14.42,-8.4,,0,1,2026-04-15 17:15:52.849127,2026-04-21 14:24:24.292842,False,False,False,False,False
FLGC,clearly illiquid,"materially below current liquidity floor; dollar volume 1,080,518; price 8.95",1,1,Cannabis,Specialty Themes,"dollar volume invalid: 1,080,518 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,8.95,120728.23809523808,1080517.730952381,True,True,False,-18.41,32.2,22.94,-23.31,,0,1,2026-04-15 17:15:52.899923,2026-04-21 14:24:25.384195,False,False,False,False,False
FLYE,clearly illiquid,"materially below current liquidity floor; dollar volume 35,715; price 2.11",1,1,Aircraft Leasing,Space & Aerospace,"dollar volume invalid: 35,715 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.11,16926.45906042857,35714.82861750428,True,True,False,-4.95,-4.95,18.54,-70.9,,0,1,2026-04-15 17:15:52.960197,2026-04-21 14:24:26.637745,False,False,False,False,False
FNKO,clearly illiquid,"materially below current liquidity floor; dollar volume 2,997,131; price 4.39",1,1,Toys & Games,Consumer - Leisure,"dollar volume invalid: 2,997,131 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.39,682717.8766646667,2997131.4785578866,True,True,False,-2.66,19.29,30.27,23.66,,0,1,2026-04-15 17:15:53.008036,2026-04-21 14:24:28.224084,False,False,False,False,False
FOXF,clearly illiquid,"materially below current liquidity floor; dollar volume 9,913,248; price 17.6",1,1,Outdoor Recreation,Consumer - Leisure,"dollar volume invalid: 9,913,248 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,17.6,563252.7501954285,9913248.403439542,True,True,False,0.11,0.0,9.45,-7.85,,0,1,2026-04-15 17:15:53.074699,2026-04-21 14:24:29.445806,True,False,False,False,False
FTHM,clearly illiquid,"materially below current liquidity floor; dollar volume 191,561; price 1.08",1,1,Real Estate Tech,Real Estate - Non REIT,"dollar volume invalid: 191,561 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,1.08,177371.00785909523,191560.6884878229,True,True,False,16.13,21.05,40.28,-16.92,,0,1,2026-04-15 17:15:53.174038,2026-04-21 14:24:31.276821,False,False,False,False,False
GDEN,clearly illiquid,"materially below current liquidity floor; dollar volume 6,158,186; price 28.25",1,1,Gaming & Casinos,Consumer - Leisure,"dollar volume invalid: 6,158,186 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,28.25,217988.87776504763,6158185.796862596,True,True,False,-1.02,0.28,7.82,1.11,,0,1,2026-04-15 17:15:53.273733,2026-04-21 14:24:33.287937,False,False,False,False,False
GDRX,clearly illiquid,"materially below current liquidity floor; dollar volume 3,284,030; price 2.31",2,2,"Healthcare IT, Men's Health","Healthcare - Devices & Services, Healthcare - Specialty","dollar volume invalid: 3,284,030 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,2.31,1421658.1242429523,3284030.26700122,True,True,False,-2.53,3.59,13.79,-11.15,,0,1,2026-04-15 17:15:53.283032,2026-04-21 14:24:33.484836,False,False,False,False,False
GEMI,clearly illiquid,"materially below current liquidity floor; dollar volume 9,096,716; price 4.5",1,1,Digital Asset Market Infrastructure,Crypto,"dollar volume invalid: 9,096,716 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.5,2021492.3578539523,9096715.610342786,True,True,False,-3.64,-11.76,-24.62,-56.9,,0,1,2026-04-15 17:15:53.312741,2026-04-21 14:24:34.091897,False,False,False,False,False
GEVO,clearly illiquid,"materially below current liquidity floor; dollar volume 9,729,455; price 1.82",2,2,"Biofuels & Ethanol, Renewable Fuels","Energy - Clean, Energy","dollar volume invalid: 9,729,455 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,1.82,5345854.2070246665,9729454.656784894,True,True,False,1.11,-9.0,-19.82,-6.67,,0,1,2026-04-15 17:15:53.351824,2026-04-21 14:24:34.903066,False,False,False,False,False
GHLD,clearly illiquid,"materially below current liquidity floor; dollar volume 680,240; price 20.01",1,1,Mortgage Finance,Financials - Other,"dollar volume invalid: 680,240 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,20.01,33995.0,680239.9500000001,True,True,False,0.7,0.6,0.81,0.45,,0,1,2026-04-15 17:15:53.419041,2026-04-21 14:24:36.353362,False,False,False,False,False
GLRE,clearly illiquid,"materially below current liquidity floor; dollar volume 4,622,278; price 18.46",1,1,Insurance - Reinsurance,Financials - Insurance,"dollar volume invalid: 4,622,278 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,18.46,250394.24276914287,4622277.721518378,True,True,False,0.11,1.93,15.45,37.15,,0,1,2026-04-15 17:15:53.504389,2026-04-21 14:24:38.424647,False,False,False,False,False
GNK,clearly illiquid,"materially below current liquidity floor; dollar volume 7,106,783; price 22.97",1,1,Shipping - Dry Bulk,Industrials - Transport,"dollar volume invalid: 7,106,783 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,22.97,309394.1416215238,7106783.433046402,True,True,False,-5.0,-3.57,6.34,19.57,,0,1,2026-04-15 17:15:53.567830,2026-04-21 14:24:39.631240,False,False,False,False,False
GOOS,clearly illiquid,"materially below current liquidity floor; dollar volume 4,842,253; price 12.11",1,1,Luxury & Apparel,Consumer - Leisure,"dollar volume invalid: 4,842,253 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,12.11,399855.7345460476,4842252.945352636,True,True,False,-0.49,5.58,12.34,-0.49,,0,1,2026-04-15 17:15:53.630199,2026-04-21 14:24:40.847129,False,False,False,False,False
GORO,clearly illiquid,"materially below current liquidity floor; dollar volume 2,860,305; price 1.62",1,1,Gold - Juniors,Metals & Mining,"dollar volume invalid: 2,860,305 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,1.62,1765620.3584127142,2860304.980628597,True,True,False,-2.41,5.19,64.43,8.72,,0,1,2026-04-15 17:15:53.640063,2026-04-21 14:24:41.048134,False,False,False,False,False
